title,revenue,budget,roi,main_genre,release_year,runtime,vote_average
Harry Potter and the Goblet of Fire,895921036,150000000,4.9728069066666665,Adventure,2005,157,7.816
Pirates of the Caribbean: The Curse of the Black Pearl,655011224,140000000,3.6786516,Adventure,2003,143,7.794
Harry Potter and the Deathly Hallows: Part 2,1341511219,125000000,9.732089752,Fantasy,2011,130,8.105
Star Wars,775398007,11000000,69.49072790909091,Adventure,1977,121,8.204
Wonder Woman,822854286,149000000,4.5225119865771815,Action,2017,141,7.236
Up,735099082,175000000,3.200566182857143,Animation,2009,96,7.949
Ant-Man,519311965,130000000,2.9947074230769233,Science Fiction,2015,117,7.082
The Godfather,245066411,6000000,39.844401833333336,Drama,1972,175,8.707
The Martian,630600000,108000000,4.838888888888889,Drama,2015,141,7.678
Back to the Future,381109762,19000000,19.05840852631579,Adventure,1985,116,8.314
Star Wars: The Force Awakens,2068223624,245000000,7.44172907755102,Adventure,2015,136,7.293
Spider-Man: No Way Home,1921847111,200000000,8.609235555,Action,2021,148,7.99
Harry Potter and the Order of the Phoenix,938212738,150000000,5.254751586666667,Adventure,2007,138,7.686
Harry Potter and the Half-Blood Prince,933959197,250000000,2.735836788,Adventure,2009,153,7.697
Logan,619021436,97000000,5.381664288659794,Action,2017,137,7.8
Finding Nemo,940335536,94000000,9.003569531914893,Animation,2003,100,7.824
It,701800000,40000000,16.545,Horror,2017,135,7.242
John Wick,88761661,20000000,3.43808305,Action,2014,101,7.421
Fantastic Beasts and Where to Find Them,809342332,180000000,3.4963462888888888,Fantasy,2016,132,7.334
Harry Potter and the Deathly Hallows: Part 1,954305868,250000000,2.817223472,Adventure,2010,146,7.763
Coco,800526015,175000000,3.5744343714285716,Family,2017,105,8.222
Captain America: The Winter Soldier,714766572,170000000,3.2045092470588235,Action,2014,136,7.671
Spider-Man,821708551,139000000,4.911572309352518,Fantasy,2002,121,7.279
WALL·E,521311860,180000000,1.896177,Animation,2008,98,8.078
Gone Girl,369330363,61000000,5.054596114754099,Mystery,2014,149,7.892
The Hobbit: An Unexpected Journey,1021103568,250000000,3.084414272,Adventure,2012,169,7.339
"Monsters, Inc.",579707738,115000000,4.040936852173913,Animation,2001,92,7.835
Toy Story,394400000,30000000,12.146666666666667,Animation,1995,81,7.971
The Revenant,532950503,135000000,2.9477815037037036,Western,2015,157,7.5
Batman v Superman: Dawn of Justice,873637528,250000000,2.494550112,Action,2016,152,5.952
The Lion King,763455561,45000000,15.965679133333333,Family,1994,89,8.256
Gladiator,465361176,103000000,3.518069669902913,Action,2000,155,8.209
The Truman Show,264118201,60000000,3.4019700166666667,Comedy,1998,103,8.133
The Incredibles,631442092,92000000,5.863501,Action,2004,115,7.704
Arrival,203388186,47000000,3.3274082127659574,Drama,2016,116,7.6
Parasite,257591776,11363000,21.669345771363197,Comedy,2019,133,8.515
Thor: The Dark World,644783140,170000000,2.792842,Action,2013,112,6.538
The Amazing Spider-Man,757930663,215000000,2.525258897674419,Action,2012,136,6.691
Split,278454358,9000000,29.93937311111111,Horror,2017,117,7.337
Deadpool 2,785896609,110000000,6.144514627272727,Action,2018,120,7.492
The Shining,44781695,19000000,1.3569313157894738,Horror,1980,144,8.218
Kill Bill: Vol. 1,180906076,30000000,5.030202533333333,Action,2003,111,7.97
The Hunger Games: Catching Fire,865011746,130000000,5.653936507692308,Adventure,2013,146,7.4
The Intouchables,426588510,13000000,31.81450076923077,Drama,2011,113,8.277
Get Out,255407969,4500000,55.757326444444445,Mystery,2017,104,7.62
The Imitation Game,233555708,14000000,15.682550571428571,History,2014,113,8.007
Bohemian Rhapsody,903992901,52000000,16.384478865384615,Music,2018,135,7.997
The Green Mile,286801374,60000000,3.7800229,Fantasy,1999,189,8.507
The Maze Runner,348319861,34000000,9.244701794117647,Action,2014,113,7.173
The Hangover,469310836,35000000,12.408881028571429,Comedy,2009,100,7.312
The Empire Strikes Back,538400000,18000000,28.91111111111111,Adventure,1980,124,8.4
Shrek,487853320,60000000,7.130888666666666,Animation,2001,90,7.73
Ratatouille,623726000,150000000,3.1581733333333335,Animation,2007,111,7.809
Kingsman: The Secret Service,414351546,81000000,4.115451185185186,Crime,2014,129,7.636
La La Land,447407695,30000000,13.913589833333333,Comedy,2016,129,7.897
Frozen,1274219009,150000000,7.4947933933333335,Animation,2013,102,7.2
Dunkirk,527000000,150000000,2.513333333333333,War,2017,107,7.456
Zootopia,1023784195,150000000,5.825227966666667,Animation,2016,109,7.748
Lucy,458863600,40000000,10.47159,Action,2014,89,6.44
Jurassic Park,920100000,63000000,13.604761904761904,Adventure,1993,127,7.941
The Silence of the Lambs,272742922,19000000,13.354890631578947,Crime,1991,119,8.3
Spirited Away,274925095,19000000,13.469741842105263,Animation,2001,125,8.539
Beauty and the Beast,1266115964,160000000,6.913224775,Family,2017,129,6.967
Pirates of the Caribbean: Dead Man's Chest,1065659812,200000000,4.32829906,Adventure,2006,151,7.346
Big Hero 6,657827828,165000000,2.986835321212121,Adventure,2014,102,7.738
Now You See Me,351723989,75000000,3.689653186666667,Thriller,2013,116,7.345
The Hunger Games: Mockingjay - Part 1,755356711,125000000,5.042853688,Science Fiction,2014,123,6.796
Venom,856085151,116000000,6.380044405172414,Science Fiction,2018,112,6.826
The Prestige,109676311,40000000,1.741907775,Drama,2006,130,8.203
I Am Legend,585410052,150000000,2.90273368,Drama,2007,101,7.201
Saving Private Ryan,481840909,70000000,5.8834415571428575,Drama,1998,169,8.209
Captain Marvel,1131416446,152000000,6.44352925,Action,2019,124,6.843
Baby Driver,226945087,34000000,5.6748555,Action,2017,113,7.5
Schindler's List,321365567,22000000,13.607525772727273,Drama,1993,195,8.573
Return of the Jedi,572700000,32350000,16.7032457496136,Adventure,1983,132,7.892
Spider-Man: Far From Home,1131927996,160000000,6.074549975,Action,2019,129,7.447
Skyfall,1142471295,200000000,4.712356475,Action,2012,143,7.227
Gravity,723192705,105000000,5.887549571428571,Science Fiction,2013,91,7.162
X-Men: Days of Future Past,747862775,250000000,1.9914511,Action,2014,132,7.5
Ready Player One,607274134,175000000,2.4701379085714286,Adventure,2018,140,7.6
World War Z,531865000,200000000,1.659325,Action,2013,116,6.807
Catch Me If You Can,352114312,52000000,5.771429076923077,Drama,2002,141,7.971
Rogue One: A Star Wars Story,1056057273,200000000,4.280286365,Action,2016,133,7.488
Star Wars: The Last Jedi,1332698830,200000000,5.66349415,Adventure,2017,152,6.825
Man of Steel,668045518,225000000,1.969091191111111,Action,2013,143,6.614
Despicable Me,533679475,69000000,6.734485144927536,Family,2010,95,7.227
Spider-Man 2,788976453,200000000,2.944882265,Action,2004,127,7.258
Spider-Man: Into the Spider-Verse,375464627,90000000,3.1718291888888888,Action,2018,117,8.404
Charlie and the Chocolate Factory,474968763,150000000,2.16645842,Adventure,2005,115,7.04
Whiplash,13092000,3300000,2.9672727272727273,Drama,2014,107,8.381
The Departed,291465000,90000000,2.2385,Drama,2006,151,8.166
The Grand Budapest Hotel,174600318,30000000,4.8200106,Comedy,2014,100,8.049
Toy Story 3,1066969703,200000000,4.334848515,Animation,2010,103,7.792
Memento,39723096,9000000,3.4136773333333332,Mystery,2000,113,8.188
Eternal Sunshine of the Spotless Mind,72258126,20000000,2.6129063,Science Fiction,2004,108,8.101
Léon: The Professional,45284974,16000000,1.830310875,Crime,1994,111,8.316
Black Swan,329398046,13000000,24.338311230769232,Drama,2010,108,7.672
V for Vendetta,132511035,54000000,1.4539080555555555,Action,2006,132,7.897
Star Wars: Episode I - The Phantom Menace,924317558,115000000,7.037543982608696,Adventure,1999,136,6.5
Her,47351251,23000000,1.0587500434782608,Romance,2013,126,7.862
Pirates of the Caribbean: At World's End,961000000,300000000,2.203333333333333,Adventure,2007,169,7.239
The Hobbit: The Battle of the Five Armies,956019788,250000000,2.824079152,Action,2014,144,7.309
Reservoir Dogs,2859750,1200000,1.383125,Crime,1992,99,8.132
The Hateful Eight,155760117,44000000,2.5400026590909093,Drama,2015,188,7.746
Alien,104931801,11000000,8.539254636363637,Horror,1979,117,8.147
Sherlock Holmes,524028679,90000000,4.822540877777778,Action,2009,129,7.202
Alice in Wonderland,1025467110,200000000,4.12733555,Family,2010,108,6.627
Pirates of the Caribbean: On Stranger Tides,1045713802,379000000,1.7591393192612137,Adventure,2011,137,6.538
Spider-Man 3,894983373,258000000,2.4689278023255814,Fantasy,2007,139,6.398
A Quiet Place,341000000,17000000,19.058823529411764,Horror,2018,91,7.396
Aquaman,1148528393,160000000,6.17830245625,Action,2018,143,6.9
Kill Bill: Vol. 2,152159461,30000000,4.071982033333334,Action,2004,136,7.876
Cars,461983149,120000000,2.849859575,Animation,2006,117,6.936
Toy Story 2,497366869,90000000,4.526298544444445,Animation,1999,92,7.589
Men in Black,589390539,90000000,5.548783766666666,Action,1997,98,7.184
Edge of Tomorrow,370541256,178000000,1.0816924494382023,Action,2014,114,7.606
300,456082343,65000000,6.0166514307692305,Action,2007,117,7.175
Jumanji: Welcome to the Jungle,995339117,90000000,10.059323522222222,Adventure,2017,119,6.827
Blade Runner,41722424,28000000,0.4900865714285714,Science Fiction,1982,118,7.931
Star Wars: Episode III - Revenge of the Sith,850000000,113000000,6.522123893805309,Adventure,2005,140,7.411
Hacksaw Ridge,175302354,40000000,3.38255885,Drama,2016,139,8.195
Twilight,393616788,37000000,9.638291567567567,Fantasy,2008,122,6.286
Brave,538983207,185000000,1.9134227405405406,Animation,2012,93,7.012
Ant-Man and the Wasp,622674139,140000000,3.4476724214285714,Action,2018,119,6.951
Maleficent,758539785,180000000,3.2141099166666667,Fantasy,2014,97,7.09
Passengers,303144152,110000000,1.7558559272727272,Drama,2016,116,6.934
Life of Pi,609016565,120000000,4.0751380416666665,Adventure,2012,127,7.398
Ex Machina,36869414,15000000,1.4579609333333334,Drama,2015,108,7.572
The Amazing Spider-Man 2,708962323,200000000,2.544811615,Action,2014,141,6.498
Blade Runner 2049,259239658,150000000,0.7282643866666667,Science Fiction,2017,164,7.544
Ice Age,383257136,59000000,5.495883661016949,Animation,2002,81,7.348
Star Wars: Episode II - Attack of the Clones,649398328,120000000,4.411652733333334,Adventure,2002,142,6.6
Justice League,657926987,300000000,1.1930899566666666,Action,2017,120,6.098
The Hobbit: The Desolation of Smaug,958400000,250000000,2.8336,Fantasy,2013,161,7.57
Once Upon a Time… in Hollywood,374251247,95000000,2.939486810526316,Comedy,2019,162,7.437
Life Is Beautiful,230098753,20000000,10.50493765,Comedy,1997,116,8.455
X-Men: Apocalypse,543934787,178000000,2.0558134101123597,Action,2016,144,6.513
Birdman or (The Unexpected Virtue of Ignorance),103215094,18000000,4.734171888888889,Drama,2014,120,7.471
Divergent,288885818,85000000,2.398656682352941,Action,2014,139,6.92
American Sniper,542307423,58800000,8.222915357142858,War,2014,133,7.427
How to Train Your Dragon,494879471,165000000,1.9992695212121212,Fantasy,2010,98,7.813
Incredibles 2,1242805359,200000000,5.214026795,Action,2018,118,7.481
Edward Scissorhands,53000000,20000000,1.65,Fantasy,1990,105,7.716
John Wick: Chapter 2,171539887,40000000,3.288497175,Action,2017,122,7.323
X-Men: First Class,353624124,160000000,1.210150775,Action,2011,132,7.296
A Clockwork Orange,26589000,2200000,11.085909090909091,Science Fiction,1971,137,8.2
The Curious Case of Benjamin Button,335802786,150000000,1.23868524,Drama,2008,166,7.579
The Terminator,78371200,6400000,11.2455,Action,1984,108,7.646
Back to the Future Part II,332000000,40000000,7.3,Adventure,1989,108,7.752
Terminator 2: Judgment Day,520000000,102000000,4.098039215686274,Action,1991,137,8.104
GoodFellas,46835000,25000000,0.8734,Drama,1990,145,8.464
Drive,78054825,15000000,4.203655,Drama,2011,100,7.572
Pacific Rim,411002906,180000000,1.2833494777777779,Action,2013,131,6.878
The Hunger Games: Mockingjay - Part 2,653428261,160000000,3.08392663125,Action,2015,137,6.9
Wreck-It Ralph,471222889,165000000,1.855896296969697,Family,2012,101,7.3
Donnie Darko,7500000,6000000,0.25,Fantasy,2001,114,7.8
Ted,549368315,50000000,9.9873663,Comedy,2012,107,6.407
The Great Gatsby,351040419,105000000,2.3432420857142855,Drama,2013,143,7.379
Moana,690860472,150000000,3.60573648,Adventure,2016,107,7.6
The Shape of Water,195333312,19500000,9.017092923076923,Drama,2017,123,7.247
Raiders of the Lost Ark,389925971,18000000,20.662553944444443,Adventure,1981,115,7.924
Zombieland,102391540,23600000,3.3386245762711866,Comedy,2009,88,7.3
Finding Dory,1028570889,200000000,4.142854445,Adventure,2016,97,7.042
Me Before You,207945075,20000000,9.39725375,Drama,2016,110,7.918
1917,394638258,100000000,2.94638258,War,2019,119,7.99
Call Me by Your Name,43143046,4000000,9.7857615,Romance,2017,132,8.167
Silver Linings Playbook,236412453,21000000,10.257735857142857,Drama,2012,122,7.13
Shrek 2,928760770,150000000,5.191738466666667,Animation,2004,93,7.249
2012,791217826,200000000,2.95608913,Action,2009,158,5.819
The Godfather Part II,102600000,13000000,6.892307692307693,Drama,1974,202,8.591
American Beauty,356296601,15000000,22.753106733333333,Drama,1999,122,8.0
Prometheus,403354469,130000000,2.1027266846153845,Science Fiction,2012,124,6.535
The Social Network,224920315,40000000,4.623007875,Drama,2010,121,7.358
Pirates of the Caribbean: Dead Men Tell No Tales,795922298,230000000,2.4605317304347825,Adventure,2017,128,6.648
Knives Out,312897920,40000000,6.822448,Comedy,2019,131,7.847
Good Will Hunting,225933435,10000000,21.5933435,Drama,1997,127,8.149
Fifty Shades of Grey,571006128,40000000,13.2751532,Drama,2015,125,5.882
The Devil Wears Prada,326706115,35000000,8.334460428571429,Comedy,2006,109,7.384
Taxi Driver,28600000,1900000,14.052631578947368,Crime,1976,114,8.2
A Star Is Born,433888866,36000000,11.0524685,Music,2018,136,7.503
Fury,211817906,68000000,2.114969205882353,War,2014,135,7.518
The Incredible Hulk,163712074,150000000,0.09141382666666667,Science Fiction,2008,114,6.204
Kick-Ass,96188903,28000000,2.4353179642857143,Action,2010,117,7.12
"I, Robot",347234916,120000000,1.8936243,Action,2004,115,6.939
No Country for Old Men,171627166,25000000,5.86508664,Crime,2007,122,7.933
Rise of the Planet of the Apes,482860185,93000000,4.192045,Thriller,2011,105,7.289
Ocean's Eleven,450717150,85000000,4.302554705882353,Thriller,2001,116,7.43
The Sixth Sense,672806292,40000000,15.8201573,Mystery,1999,107,7.944
Amélie,173921954,10000000,16.3921954,Comedy,2001,122,7.905
Scarface,66023329,25000000,1.64093316,Action,1983,169,8.168
Prisoners,122126687,46000000,1.6549279782608695,Drama,2013,153,8.091
American History X,23875127,20000000,0.19375635,Drama,1998,119,8.352
The Conjuring,320406242,13000000,23.646634,Horror,2013,112,7.541
The Fault in Our Stars,307166834,14000000,20.94048814285714,Romance,2014,126,7.598
The Notebook,115603229,29000000,2.98631824137931,Romance,2004,123,7.88
12 Years a Slave,187000000,20000000,8.35,Drama,2013,134,7.945
2001: A Space Odyssey,71923560,12000000,4.99363,Science Fiction,1968,149,8.076
In Time,173930596,40000000,3.3482649,Action,2011,109,6.953
Aladdin,504050219,28000000,17.001793535714285,Animation,1992,95,7.645
Green Book,319700000,23000000,12.9,Drama,2018,130,8.242
Tangled,592461732,260000000,1.2786989692307693,Animation,2010,100,7.599
Cast Away,429632142,90000000,3.773690466666667,Adventure,2000,143,7.662
X-Men,296339527,75000000,2.9511936933333334,Adventure,2000,104,6.996
Despicable Me 2,970761885,76000000,11.773182697368421,Animation,2013,98,6.916
Kung Fu Panda,631744560,130000000,3.8595735384615386,Action,2008,90,7.24
Transformers,709709780,150000000,3.7313985333333335,Adventure,2007,143,6.8
E.T. the Extra-Terrestrial,792965500,10500000,74.52052380952381,Science Fiction,1982,115,7.512
Taken,226830568,25000000,8.07322272,Action,2008,94,7.387
Jurassic World: Fallen Kingdom,1310466296,170000000,6.708625270588235,Action,2018,129,6.548
The Big Lebowski,47010480,15000000,2.134032,Comedy,1998,117,7.842
Dawn of the Planet of the Apes,710644566,170000000,3.1802621529411765,Science Fiction,2014,130,7.306
Dead Poets Society,235860116,16400000,13.381714390243902,Drama,1989,128,8.312
Fantastic Beasts: The Crimes of Grindelwald,654855901,200000000,2.274279505,Fantasy,2018,134,6.876
Die Hard,140767956,28000000,4.027427,Action,1988,131,7.775
Now You See Me 2,334901337,90000000,2.7211259666666665,Crime,2016,129,6.83
Home Alone,476684675,18000000,25.482481944444444,Comedy,1990,103,7.412
The Matrix Reloaded,738599701,150000000,3.923998006666667,Adventure,2003,138,7.039
Madagascar,542063846,75000000,6.227517946666667,Family,2005,86,6.892
The Theory of Everything,123726688,15000000,7.248445866666667,Drama,2014,123,7.86
Nightcrawler,50300000,8500000,4.91764705882353,Crime,2014,118,7.703
Fast & Furious 6,788680968,160000000,3.92925605,Action,2013,131,6.817
Oblivion,286168572,120000000,1.3847381,Action,2013,124,6.618
Bruce Almighty,484592874,80000000,5.057410925,Fantasy,2003,101,6.706
Gran Torino,269958228,33000000,7.180552363636363,Drama,2008,116,7.994
Furious 7,1515341399,190000000,6.9754810473684215,Action,2015,137,7.238
Minions,1156730962,74000000,14.631499486486486,Family,2015,91,6.395
Casino Royale,599045960,150000000,2.9936397333333336,Adventure,2006,144,7.543
The Fifth Element,263920180,90000000,1.9324464444444445,Adventure,1997,126,7.53
Slumdog Millionaire,378410542,15000000,24.227369466666666,Drama,2008,120,7.734
Monsters University,743559607,200000000,2.717798035,Animation,2013,104,7.0
Limitless,161849455,27000000,4.994424259259259,Thriller,2011,105,7.186
Spectre,880674609,245000000,2.5945902408163266,Action,2015,148,6.533
The Perks of Being a Wallflower,33400000,13000000,1.5692307692307692,Drama,2012,103,7.8
Pan's Labyrinth,83258226,19000000,3.3820118947368423,Fantasy,2006,118,7.757
Jumanji,262821940,65000000,3.0434144615384615,Adventure,1995,104,7.239
Avatar: The Way of Water,2320250281,460000000,4.04402235,Science Fiction,2022,192,7.654
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",745013115,180000000,3.13896175,Adventure,2005,143,7.126
American Psycho,34266564,7000000,3.8952234285714287,Thriller,2000,102,7.4
X-Men Origins: Wolverine,373062864,150000000,1.48708576,Adventure,2009,107,6.254
The Hangover Part II,586764305,80000000,6.3345538125,Comedy,2011,102,6.468
Sherlock Holmes: A Game of Shadows,334615000,125000000,1.67692,Adventure,2011,129,7.13
The Fate of the Furious,1236005118,250000000,3.944020472,Action,2017,136,6.887
John Wick: Chapter 3 - Parabellum,326709727,55000000,4.940176854545455,Action,2019,131,7.447
Kong: Skull Island,566652812,185000000,2.062988172972973,Action,2017,118,6.514
Back to the Future Part III,244527583,40000000,5.113189575,Adventure,1990,119,7.465
Men in Black 3,624026776,225000000,1.7734523377777778,Action,2012,106,6.51
Maze Runner: The Scorch Trials,312296056,61000000,4.119607475409836,Science Fiction,2015,131,6.7
Full Metal Jacket,46357676,30000000,0.5452558666666667,Drama,1987,117,8.136
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),205372791,75000000,1.73830388,Action,2020,108,7.0
21 Jump Street,201585328,42000000,3.7996506666666665,Action,2012,109,6.878
One Flew Over the Cuckoo's Nest,108981275,3000000,35.32709166666667,Drama,1975,133,8.42
Looper,47042000,30000000,0.5680666666666667,Action,2012,118,6.877
The Usual Suspects,23341568,6000000,2.890261333333333,Drama,1995,106,8.195
Zodiac,84785914,65000000,0.3043986769230769,Crime,2007,157,7.5
Mr. & Mrs. Smith,487287646,110000000,3.4298876909090907,Action,2005,120,6.677
Kingsman: The Golden Circle,410902662,104000000,2.9509871346153846,Action,2017,141,6.972
Jaws,470653000,7000000,66.23614285714285,Horror,1975,124,7.659
Night at the Museum,574480841,110000000,4.2225531,Action,2006,108,6.6
Insurgent,297002527,110000000,1.7000229727272727,Action,2015,119,6.361
A Beautiful Mind,316800000,58000000,4.462068965517242,Drama,2001,135,7.851
Soul,136384442,150000000,-0.09077038666666666,Animation,2020,101,8.15
Aladdin,1054304000,183000000,4.761224043715847,Adventure,2019,127,7.114
Dune,402027830,165000000,1.436532303030303,Science Fiction,2021,155,7.789
"Three Billboards Outside Ebbing, Missouri",160192031,15000000,9.679468733333334,Crime,2017,115,8.081
X2,407711549,110000000,2.706468627272727,Adventure,2003,133,7.029
The Mask,351583407,23000000,14.286235086956522,Romance,1994,101,6.937
Miss Peregrine's Home for Peculiar Children,296482446,110000000,1.6952949636363637,Fantasy,2016,127,6.822
Troy,497409852,175000000,1.8423420114285713,Adventure,2004,163,7.146
(500) Days of Summer,60781545,7500000,7.104206,Comedy,2009,95,7.272
Braveheart,213216216,72000000,1.9613363333333333,Action,1995,177,7.932
The Lion King,1663075401,260000000,5.39644385,Adventure,2019,118,7.1
Star Trek,385680446,150000000,1.5712029733333333,Science Fiction,2009,127,7.432
Indiana Jones and the Last Crusade,474171806,48000000,8.878579291666666,Adventure,1989,127,7.847
Black Widow,379751131,200000000,0.898755655,Action,2021,134,7.303
Psycho,32000000,806947,38.65564033325609,Horror,1960,109,8.437
Beauty and the Beast,424967620,25000000,15.9987048,Romance,1991,84,7.734
Murder on the Orient Express,352794081,55000000,5.4144378363636365,Mystery,2017,114,6.706
Men in Black II,445135288,140000000,2.1795377714285715,Action,2002,88,6.359
Mission: Impossible - Ghost Protocol,694713380,145000000,3.7911267586206896,Action,2011,133,7.069
The Fast and the Furious,207283925,38000000,4.454840131578948,Action,2001,106,6.965
Venom: Let There Be Carnage,506863592,110000000,3.6078508363636366,Science Fiction,2021,97,6.833
Requiem for a Dream,7390108,4500000,0.6422462222222223,Crime,2000,102,8.027
The Pursuit of Happyness,307077295,55000000,4.583223545454546,Drama,2006,117,7.9
The Matrix Revolutions,424988211,150000000,1.83325474,Adventure,2003,129,6.71
Toy Story 4,1073394593,175000000,5.133683388571429,Family,2019,100,7.5
Ice Age: The Meltdown,660998756,80000000,7.26248445,Animation,2006,91,6.688
Godzilla vs. Kong,470116094,200000000,1.35058047,Action,2021,114,7.661
Frozen II,1450026933,150000000,8.66684622,Family,2019,103,7.272
Star Wars: The Rise of Skywalker,1074144248,250000000,3.296576992,Adventure,2019,142,6.365
Into the Wild,56255142,15000000,2.7503428,Adventure,2007,148,7.81
Trainspotting,16491080,4000000,3.12277,Drama,1996,94,8.0
X-Men: The Last Stand,459359555,210000000,1.1874264523809523,Adventure,2006,104,6.406
The Wolverine,415440673,120000000,2.4620056083333335,Action,2013,126,6.396
Hidden Figures,235956898,25000000,8.43827592,Drama,2016,127,8.058
Hancock,629443428,150000000,3.19628952,Fantasy,2008,92,6.345
How to Train Your Dragon 2,621537519,145000000,3.286465648275862,Fantasy,2014,102,7.673
Mulan,304320254,90000000,2.3813361555555557,Animation,1998,88,7.915
Snowpiercer,86758912,39200000,1.213237551020408,Action,2013,127,6.902
Sonic the Hedgehog,319715683,85000000,2.761360976470588,Action,2020,99,7.345
Independence Day,817400891,75000000,9.898678546666666,Action,1996,145,6.868
Million Dollar Baby,216763646,30000000,6.2254548666666665,Drama,2004,132,7.958
The Greatest Showman,432844677,84000000,4.152912821428571,Drama,2017,105,7.908
Shazam!,366080049,80000000,3.5760006125,Action,2019,132,7.034
Fantastic Four,333535934,100000000,2.33535934,Action,2005,106,5.775
Aliens,183316455,18500000,8.908997567567567,Action,1986,137,7.933
Tenet,365304105,205000000,0.781971243902439,Action,2020,150,7.191
Jojo Rabbit,82468705,14000000,4.890621785714286,Comedy,2019,108,8.042
District 9,210819611,30000000,6.027320366666666,Science Fiction,2009,112,7.423
Howl's Moving Castle,236049757,24000000,8.835406541666666,Fantasy,2004,119,8.402
Room,35401758,13000000,1.7232121538461538,Drama,2015,118,8.033
Home Alone 2: Lost in New York,358994850,18000000,18.944158333333334,Comedy,1992,120,6.705
The Da Vinci Code,767820459,125000000,5.142563672,Thriller,2006,149,6.721
The Bourne Identity,214034224,60000000,2.567237066666667,Action,2002,119,7.463
The Twilight Saga: New Moon,709827462,50000000,13.19654924,Adventure,2009,131,6.003
Encanto,253000000,50000000,4.06,Animation,2021,102,7.63
Unbreakable,248118121,75000000,2.308241613333333,Thriller,2000,106,7.134
Star Trek Into Darkness,467365246,190000000,1.4598170842105263,Action,2013,132,7.328
The Batman,770945583,185000000,3.167273421621622,Crime,2022,177,7.705
